country,hdi_2022,le_2022,mys_2022,gnipc_2022,ineq_le_2022,ineq_edu_2022,ineq_inc_2022,co2_prod_2022
Honduras,0.624,70.728,7.296200514,5271.604988,9.7231598,21.61232,35.56672,1.054158038
"Hong Kong, China (SAR)",0.956,84.315,12.34776974,62485.50516,2.2119029,8.6808,24.08448,4.373241562
Hungary,0.851,74.958,12.24958992,34195.54059,3.9028568,2.65976,11.33596,5.001541744
Iceland,0.959,82.815,13.76716995,54688.37921,2.2479441,2.20077,10.67821,9.478175166
India,0.644,67.744,6.570700169,6950.526798,17.34017,36.87573,37.36087,1.899893859
Indonesia,0.713,68.25,8.556509972,12045.56544,12.753433,15.497,23.63562,2.249929938
Iran (Islamic Republic of),0.78,74.556,10.74618321,14770.32307,8.2920961,37.0817,27.51507,7.825883093
Iraq,0.673,71.336,6.811878947,9091.865377,12.638703,29.74591,25.47499,3.872579593
Ireland,0.95,82.716,11.6569568,87467.51391,2.7987664,2.93579,13.96235,7.529751173
Israel,0.915,82.601,13.44279092,43588.25725,3.1283643,6.2649,24.02052,6.162801842
Italy,0.906,84.057,10.7401104,44284.15735,2.5575173,10.0073,20.84747,5.692573044
Jamaica,0.706,70.629,9.248188719,9694.522766,8.8095961,6.31488,33.68349,2.337027155
Japan,0.92,84.82,12.66923046,43643.86417,2.5554345,4.51092,17.12348,8.523454263
Jordan,0.736,74.215,10.44668007,9294.801499,9.2924938,15.44186,24.11092,2.033264689
Kazakhstan,0.802,69.489,12.43337895,22586.79889,7.0417471,3.16666,14.70942,13.2911398
Kenya,0.601,62.055,7.686359882,4807.716317,20.144419,19.67913,39.64564,0.461419049
Kiribati,0.628,67.661,9.128581569,3440.416745,22.306704,9.63653,15.54128,0.534002204
Korea (Democratic People's Rep. of),,73.578,,,11.311593,,,1.976608651
Korea (Republic of),0.929,84.024,12.61409234,46026.4542,2.6272616,8.8308,16.42162,11.88642384
Kuwait,0.847,80.264,7.441742908,56729.18152,5.0455365,22.1081,,24.30127757
Kyrgyzstan,0.701,70.484,11.96131992,4781.692046,9.4389381,3.36425,15.33728,1.445185572
Lao People's Democratic Republic,0.62,68.999,5.94697053,7744.837346,19.350348,31.31796,23.56079,3.147046548
Latvia,0.879,75.927,13.33330305,32082.98104,4.1763897,1.84134,19.02718,3.863827625
Lebanon,0.723,74.416,8.602969077,12313.42257,5.8109384,,20.24052,4.19696919
Lesotho,0.521,53.036,7.545058784,2708.731464,33.559948,19.55712,51.42888,1.087245239
Liberia,0.487,61.1,5.318104412,1330.419917,29.989468,42.11968,36.42431,0.166607104
Libya,0.746,72.151,7.77860643,19751.56758,7.8459387,,,9.491235476
Liechtenstein,0.942,84.656,12.351169,146673.2415,4.4856329,,,3.736776044
Lithuania,0.879,74.293,13.49810028,38131.23588,4.1551394,2.91174,20.36665,4.962838906
Luxembourg,0.927,82.591,12.9600811,78554.2364,3.1720686,8.13497,16.43521,13.18539513
Madagascar,0.487,65.23,4.592520237,1463.547925,22.302801,28.33861,44.88378,0.147556758
Malawi,0.508,62.898,5.243740082,1432.472806,19.657583,28.00731,39.25333,0.104496076
Malaysia,0.807,76.26,10.74828052,27295.41224,5.3507485,11.4068,24.75876,8.305928592
Maldives,0.762,80.839,7.762392544,18846.79219,4.7613287,29.31948,28.56471,3.299409156
Mali,0.41,59.417,1.626710057,2043.672433,31.997051,40.9537,22.96216,0.316284199
Malta,0.915,83.704,12.21026039,44464.03057,4.1749191,5.19238,15.51336,3.050225155
Marshall Islands,0.731,65.146,12.81836718,6855.234566,17.558619,4.7754,22.49271,3.63686088
Mauritania,0.54,64.691,4.754063344,5343.564069,25.073185,43.98689,34.99928,0.965357551
Mauritius,0.796,73.975,9.992049863,23251.62071,9.9599047,21.7034,31.4441,3.149474754
Mexico,0.781,74.832,9.221050262,19138.00726,9.187253,14.9548,28.42414,3.699878374
Micronesia (Federated States of),0.634,70.925,7.33252398,3709.154916,13.384479,,25.79288,1.351795706
Moldova (Republic of),0.763,68.621,11.8338152,12963.61829,9.024169,2.6847,13.55132,1.828185213
Monaco,,86.895,,,3.4752736,,,
Mongolia,0.741,72.667,9.423700333,10350.86141,7.5434079,11.88363,19.19271,11.42747646
Montenegro,0.844,76.845,12.61621288,22513.26314,2.4858747,7.81501,19.91681,3.67088789
Morocco,0.698,74.973,6.05,7954.522461,10.538623,41.87093,25.92268,1.959225801
Mozambique,0.461,59.625,3.860090017,1219.241361,28.637377,38.2673,54.41273,0.22416011
Myanmar,0.608,67.256,6.518157697,4037.705141,20.8295,26.85272,17.556,0.66209607
Namibia,0.61,58.059,7.243458294,9200.026599,20.826109,25.01567,52.99237,1.475168873
Nauru,0.696,64.014,9.247975,14938.55659,13.434947,,18.47495,4.278315083
Nepal,0.601,70.484,4.485598758,4025.554685,14.335363,39.80004,31.91333,0.520339794
Netherlands,0.946,82.451,12.58162975,57278.31015,3.0723386,4.65482,11.37592,7.99391099
New Zealand,0.939,83.006,12.94468975,43665.49848,3.8071475,4.06167,18.09367,6.690024635
Nicaragua,0.669,74.615,7.26,5426.50618,9.6263456,25.79904,35.27897,0.78595264
Niger,0.394,62.08,1.341352433,1283.309235,27.768312,34.96483,37.40003,0.120343462
Nigeria,0.548,53.633,7.585969925,4754.836408,39.745159,37.83104,18.62546,0.614401064
North Macedonia,0.765,73.888,10.22815037,16395.75173,4.3797345,8.36817,20.48063,3.65558424
Norway,0.966,83.393,13.06234279,69189.76165,2.4463964,2.3289,14.27021,7.573540802
Oman,0.819,73.935,11.89274979,32967.43827,6.6202874,4.3019,23.68541,15.67723806
Pakistan,0.54,66.431,4.422319019,5374.270423,26.757063,43.52795,28.15556,0.965638962
Palau,0.797,65.362,13.04790021,19343.81199,12.572513,3.1266,40.91769,12.30304039
"Palestine, State of",0.716,73.444,9.938480377,6936.258684,10.27017,10.1856,31.44795,0.667726135
Panama,0.82,76.826,10.68696295,32029.36025,10.652435,10.17309,38.8731,2.690641599
Papua New Guinea,0.568,65.958,4.933631146,3710.326885,21.028753,35.65204,27.1712,0.798668307
Paraguay,0.731,70.475,8.861840248,13161.07522,11.913715,12.4314,34.57052,1.381977592
Peru,0.762,73.385,10.01696229,11916.35952,8.4726419,20.3617,30.61651,1.674913573
Philippines,0.71,72.187,8.971409559,9058.840558,14.475548,12.02535,23.55633,1.253546618
